round,tick,weapon_name,is_headshot,penetration_amount,has_replay,is_flash_assist,is_through_smoke,is_attacker_blind,is_noscope,second,player_id_fixed,attacker_id_fixed,assister_id_fixed,player_x_pos,player_y_pos,player_z_pos,player_x_vel,player_y_vel,player_z_vel,player_phi_ang,player_theta_ang,player_weapon_code,player_team_code,attacker_x_pos,attacker_y_pos,attacker_z_pos,attacker_x_vel,attacker_y_vel,attacker_z_vel,attacker_phi_ang,attacker_theta_ang,attacker_weapon_code,attacker_team_code,assister_x_pos,assister_y_pos,assister_z_pos,assister_x_vel,assister_y_vel,assister_z_vel,assister_phi_ang,assister_theta_ang,assister_weapon_code,assister_team_code
6,27897,mp7,False,0,False,0,0,0,0,435.890625,6,1,,594.7755126953125,683.3951416015625,1.1042604446411133,10.1953125,-9.19140625,-0.049713134765625,94.24588012695312,46.96759033203125,7,2,879.7603149414062,943.2073364257812,0.23068714141845703,-26.44140625,30.22265625,-0.110443115234375,99.38575744628906,-135.09063720703125,33,3,,,,,,,,,,
6,29056,m4a1_silencer,False,0,False,0,0,0,0,454.0,5,9,,-414.2620849609375,1115.4422607421875,-85.132080078125,-67.7109375,-14.9375,7.46875,82.6336669921875,-99.06234741210938,1,3,-518.8125610351562,587.3577880859375,9.031248092651367,0.0,0.0,0.0,101.5521240234375,77.34683227539062,60,2,,,,,,,,,,
6,29419,ak47,True,1,False,0,0,0,0,459.671875,4,8,,644.9273681640625,152.30645751953125,-1.3963623046875,-28.953125,2.298828125,-0.9765625,97.55584716796875,85.88494873046875,7,2,662.8104248046875,470.7287902832031,0.8584442138671875,0.0,0.0,0.0,99.54266357421875,-92.93746948242188,7,2,,,,,,,,,,
6,29613,mp7,False,0,False,0,0,0,0,462.703125,8,1,,605.6846313476562,664.2908325195312,1.055887222290039,12.953125,-5.15625,-0.06634521484375,99.45991516113281,68.622314453125,7,2,806.0145263671875,1049.9862060546875,0.3377089500427246,-50.234375,27.5625,-0.315032958984375,99.42593383789062,-118.7508773803711,33,3,,,,,,,,,,
6,29855,m4a1_silencer,False,0,False,0,0,0,0,466.484375,7,9,,-212.91064453125,1232.681884765625,32.03125,-7.2578125,55.0546875,0.0,110.45654296875,151.31436157226562,40,3,-211.937255859375,962.349853515625,1.4642672538757324,0.0,31.78515625,0.1260986328125,84.43783569335938,89.42184448242188,60,2,,,,,,,,,,
6,31569,m4a1_silencer,True,0,False,0,0,0,0,493.265625,3,9,,1044.4315185546875,2659.405029296875,95.67375183105469,21.25,-22.015625,0.97314453125,91.16146850585938,-136.41482543945312,60,3,356.6195373535156,1952.89404296875,96.04912567138672,52.337890625,-53.9921875,-0.0322265625,90.95065307617188,46.54083251953125,60,2,,,,,,,,,,
6,32078,ak47,False,1,False,0,0,0,0,501.21875,9,1,,583.9833984375,2532.05810546875,96.04706573486328,56.50390625,71.703125,-0.5849609375,113.00949096679688,75.96804809570312,60,2,1774.8988037109375,1837.7137451171875,2.058877468109131,23.34375,39.6796875,0.695343017578125,86.90493774414062,149.619384765625,7,3,,,,,,,,,,
6,34978,ak47,False,0,False,0,0,0,0,546.53125,1,2,8,-1399.8609619140625,2461.382568359375,3.6891489028930664,-35.2890625,100.453125,-1.51104736328125,88.67340087890625,-129.8247528076172,7,3,-1873.27197265625,2244.5029296875,-1.38763427734375,23.5078125,-69.203125,-0.91796875,89.30133056640625,23.42559814453125,7,2,,,,,,,,,,
6,35423,planted_c4,False,0,True,0,0,0,0,553.484375,2,,,-1944.161865234375,1813.75439453125,33.031253814697266,-94.96875,-19.75,0.0,95.93777465820312,-105.57792663574219,516,2,,,,,,,,,,,,,,,,,,,,
7,37059,ak47,True,0,False,0,0,0,0,579.046875,3,2,,-314.7333984375,693.6094360351562,1.2116045951843262,-128.8984375,-85.62109375,-5.479400634765625,93.37933349609375,-57.47051239013672,60,3,-173.8966064453125,429.675048828125,-1.251708984375,-24.6953125,-11.939453125,-0.3125,91.07699584960938,114.49298095703125,7,2,,,,,,,,,,
